aX,aY,aZ,gX,gY,gZ
0.531,-0.833,-0.337,-5.432,2.869,-4.028
0.535,-0.831,-0.334,-5.981,2.380,-4.211
0.533,-0.821,-0.333,-6.104,2.502,-3.662
0.526,-0.809,-0.335,-5.859,2.441,-3.357
0.522,-0.800,-0.336,-4.700,1.892,-3.784
0.521,-0.804,-0.341,-3.052,1.160,-4.333
0.519,-0.806,-0.341,-1.343,0.610,-4.639
0.512,-0.811,-0.337,0.061,0.122,-4.089
0.509,-0.819,-0.339,0.549,0.000,-3.540
0.503,-0.822,-0.337,0.122,0.427,-3.296
0.502,-0.824,-0.336,-0.977,0.732,-3.540
0.506,-0.819,-0.336,-2.014,1.221,-4.028
0.517,-0.811,-0.344,-2.686,1.221,-4.883
0.524,-0.805,-0.344,-2.747,0.977,-5.249
0.518,-0.794,-0.336,-2.075,0.366,-4.578
0.513,-0.788,-0.335,-1.648,-0.122,-3.967
0.515,-0.785,-0.340,-1.038,-0.671,-3.967
0.518,-0.787,-0.344,-0.549,-0.916,-3.479
0.508,-0.790,-0.341,0.122,-0.854,-2.563
0.502,-0.796,-0.334,0.793,-0.427,-1.648
1.790,-1.744,-0.880,149.353,84.595,501.770
2.068,-1.975,-1.002,147.156,103.027,490.662
2.394,-2.134,-1.278,140.259,111.755,478.271
2.722,-2.257,-1.533,140.747,108.215,471.313
2.950,-2.493,-1.672,159.973,95.459,466.980
2.933,-2.787,-1.646,190.796,77.881,459.045
2.673,-3.152,-1.381,213.806,62.439,446.960
2.188,-3.463,-0.814,210.327,59.021,429.382
1.702,-3.739,-0.209,172.363,83.435,405.090
1.487,-4.000,0.354,104.553,131.104,377.686
1.241,-4.000,0.974,28.992,187.744,349.121
1.217,-4.000,0.866,-40.283,243.347,318.665
1.073,-4.000,0.706,-85.938,231.567,236.206
0.957,-3.144,0.868,-121.399,103.027,67.932
1.078,-2.285,0.349,-153.198,-7.080,-72.632
1.211,-1.459,-0.309,-151.611,-73.364,-107.605
0.979,-0.934,-0.593,-103.210,-131.958,-75.745
0.562,-0.699,-0.639,-42.847,-170.959,-22.278
0.314,-0.640,-0.705,-3.662,-178.650,23.987
0.175,-0.813,-0.808,20.752,-163.574,51.086
0.036,-1.083,-0.814,33.997,-133.911,62.500
-0.094,-1.255,-0.677,33.752,-84.167,67.993
-0.116,-1.322,-0.485,29.907,-17.273,67.322
0.005,-1.417,-0.313,31.860,51.331,55.603
0.287,-1.486,-0.192,39.673,108.643,33.997
0.587,-1.469,-0.087,53.162,141.418,5.066
0.839,-1.409,-0.015,65.491,145.752,-29.907
0.973,-1.291,0.007,72.876,121.643,-63.110
0.984,-1.154,-0.001,79.041,77.515,-84.106
0.931,-1.064,-0.039,82.275,24.658,-87.952
0.862,-1.005,-0.116,76.294,-21.606,-76.111
0.744,-0.950,-0.189,59.265,-54.626,-53.162
0.609,-0.911,-0.285,34.729,-72.266,-26.306
0.523,-0.884,-0.370,8.972,-76.477,-1.770
0.425,-0.847,-0.430,-13.672,-70.984,15.808
0.353,-0.822,-0.471,-29.358,-58.044,23.499
0.344,-0.806,-0.486,-36.438,-40.588,23.193
0.362,-0.779,-0.485,-36.499,-22.278,17.944
0.389,-0.752,-0.451,-29.724,-6.592,9.766
0.434,-0.736,-0.416,-18.433,4.395,0.061
0.469,-0.734,-0.369,-5.554,9.766,-9.155
0.506,-0.749,-0.339,5.371,9.705,-18.250
0.529,-0.765,-0.328,12.634,5.798,-25.208
0.550,-0.775,-0.329,16.724,-0.366,-26.978
0.543,-0.786,-0.333,17.639,-6.714,-23.499
0.514,-0.795,-0.334,15.869,-12.573,-16.541
0.485,-0.801,-0.349,10.620,-16.907,-9.033
0.462,-0.801,-0.368,3.784,-18.311,-3.174
0.451,-0.795,-0.385,-2.380,-17.639,1.587
0.427,-0.781,-0.390,-5.676,-15.198,5.249
0.419,-0.771,-0.398,-6.836,-11.047,6.714
0.422,-0.771,-0.401,-4.944,-6.104,6.348
0.433,-0.785,-0.394,-1.160,-1.892,4.089
0.450,-0.808,-0.374,2.686,1.709,1.648
0.463,-0.829,-0.349,5.432,3.967,-0.488
0.472,-0.848,-0.329,6.409,5.249,-2.319
0.478,-0.861,-0.309,6.409,5.371,-4.333
0.495,-0.879,-0.309,6.042,4.089,-6.531
0.500,-0.907,-0.298,5.432,1.526,-8.057
0.505,-0.915,-0.303,3.662,-0.732,-8.545
0.515,-0.916,-0.310,1.770,-2.319,-8.301
0.501,-0.900,-0.301,0.427,-3.967,-5.981
0.486,-0.877,-0.300,-0.854,-4.089,-2.747
0.472,-0.860,-0.305,-2.380,-3.540,-0.488
0.471,-0.854,-0.321,-2.747,-2.502,0.305
0.471,-0.853,-0.330,-1.831,-1.648,0.916
