aX,aY,aZ,gX,gY,gZ
0.331,-0.633,0.904,-18.188,3.357,-22.156
0.376,-0.598,0.915,-15.137,5.188,-18.433
0.393,-0.534,0.868,-12.756,10.803,-14.587
0.371,-0.528,0.795,-12.573,15.015,-14.160
0.365,-0.509,0.739,-15.381,14.709,-13.733
0.369,-0.500,0.708,-17.334,10.254,-13.123
0.384,-0.503,0.708,-17.456,2.563,-13.123
0.407,-0.487,0.741,-15.564,-3.296,-13.367
0.379,-0.487,0.774,-14.648,-6.104,-13.306
0.343,-0.511,0.823,-16.113,-6.653,-12.695
0.309,-0.561,0.925,-19.836,-5.310,-11.353
0.293,-0.564,0.943,-20.691,-1.465,-9.460
0.268,-0.559,0.998,-15.259,1.770,-8.545
0.262,-0.556,0.950,-11.108,5.737,-7.629
0.262,-0.543,0.899,-7.507,8.789,-6.226
0.272,-0.526,0.847,-3.662,8.850,-4.333
0.264,-0.519,0.841,-1.404,6.226,-2.563
0.290,-0.505,0.833,-2.502,4.333,-0.549
0.312,-0.463,0.790,-3.967,3.479,1.526
0.326,-0.453,0.777,-1.343,-0.427,2.136
0.344,-0.451,0.762,-0.427,-5.981,1.099
0.379,-0.439,0.775,-0.122,-9.766,-0.122
0.384,-0.453,0.837,0.916,-9.399,-1.587
0.372,-0.486,0.894,-0.732,-5.310,-2.502
0.376,-0.502,0.906,-3.418,-0.671,-2.563
0.377,-0.503,0.907,-3.296,3.357,-2.502
0.375,-0.519,0.881,0.000,5.005,-3.479
0.362,-0.516,0.850,4.456,4.700,-4.272
0.337,-0.523,0.835,6.470,3.784,-3.845
0.318,-0.525,0.820,5.188,2.258,-2.808
0.310,-0.526,0.808,4.456,-0.610,-1.770
0.303,-0.517,0.794,5.127,-4.028,-0.793
0.320,-0.493,0.796,4.761,-6.348,0.488
0.334,-0.484,0.807,4.272,-7.019,0.305
0.354,-0.498,0.802,4.761,-6.348,-1.099
0.354,-0.495,0.787,5.310,-4.700,-1.099
0.354,-0.484,0.776,3.723,-2.258,-0.977
0.359,-0.479,0.775,1.892,-0.488,-0.916
0.368,-0.475,0.769,1.587,0.732,-1.038
0.356,-0.482,0.761,1.160,1.282,-1.526
0.343,-0.491,0.768,-0.488,0.854,-1.648
0.346,-0.494,0.797,-1.221,-0.732,-1.343
0.333,-0.502,0.815,-0.366,-1.892,-1.648
0.328,-0.500,0.832,0.183,-2.380,-2.014
0.330,-0.500,0.854,1.160,-2.686,-2.380
0.328,-0.519,0.864,1.953,-1.892,-2.563
0.326,-0.517,0.851,2.808,0.061,-1.404
0.344,-0.492,0.836,3.601,1.648,0.305
0.500,0.426,-2.850,-66.223,-44.373,0.488
0.490,0.499,-2.948,-82.947,-66.650,-0.244
0.520,0.700,-2.998,-103.516,-82.947,0.061
0.533,0.867,-2.999,-130.859,-90.454,-3.174
0.540,0.962,-3.028,-163.391,-91.370,-6.287
0.501,1.134,-2.995,-200.317,-92.712,-6.165
0.503,1.338,-2.929,-237.671,-99.121,-5.676
0.459,1.502,-2.791,-274.231,-110.046,-8.789
0.387,1.552,-2.654,-301.636,-126.160,-18.188
0.293,1.637,-2.407,-320.251,-149.658,-25.452
0.239,1.724,-2.137,-335.449,-174.011,-31.189
0.167,1.786,-1.841,-351.501,-192.932,-35.583
0.083,1.809,-1.570,-373.108,-204.956,-39.001
0.010,1.829,-1.288,-398.437,-214.600,-39.124
-0.054,1.810,-1.034,-424.500,-227.051,-39.001
-0.138,1.795,-0.722,-444.641,-247.559,-42.786
-0.288,1.714,-0.351,-453.491,-276.184,-52.002
-0.345,1.550,0.173,-444.824,-316.895,-66.345
-0.417,1.316,0.715,-408.813,-360.474,-85.449
-0.407,1.133,1.260,-362.366,-382.690,-104.187
-0.369,0.891,1.719,-323.914,-375.366,-121.948
-0.369,0.610,1.995,-300.598,-334.229,-131.836
-0.339,0.374,2.218,-293.335,-273.682,-129.883
-0.349,0.235,2.285,-292.297,-208.740,-119.568
-0.414,0.120,2.253,-291.626,-154.358,-110.168
-0.438,-0.025,2.294,-285.828,-122.742,-104.126
-0.511,-0.179,2.387,-271.362,-108.398,-101.929
-0.524,-0.372,2.493,-247.070,-103.577,-98.999
-0.421,-0.465,2.588,-211.121,-101.685,-92.529
-0.318,-0.428,2.589,-167.175,-91.187,-84.045
-0.152,-0.340,2.445,-124.451,-69.336,-77.271
-0.038,-0.143,2.183,-94.482,-38.513,-69.092
0.030,0.034,1.795,-84.412,-4.395,-62.012
