aX,aY,aZ,gX,gY,gZ
-0.198,-0.191,0.759,25.208,-15.808,34.180
-0.199,-0.238,0.796,23.987,-9.094,32.776
-0.186,-0.244,0.791,22.156,-1.526,29.968
1.455,-0.426,1.740,-9.583,-54.260,-17.029
1.577,-0.424,1.636,-7.690,-57.129,-21.423
1.517,-0.413,1.600,-6.653,-70.618,-28.442
1.521,-0.380,1.514,-15.198,-84.595,-35.217
1.620,-0.495,1.380,-24.170,-98.999,-40.894
1.658,-0.538,1.173,-32.104,-119.873,-39.490
1.627,-0.603,0.995,-39.795,-150.330,-38.940
1.528,-0.704,0.914,-48.584,-180.542,-39.307
1.468,-0.773,0.833,-61.707,-196.960,-39.429
1.459,-0.781,0.644,-81.299,-196.960,-39.307
1.452,-0.750,0.487,-99.915,-188.110,-40.649
1.402,-0.704,0.360,-110.901,-171.936,-43.579
1.405,-0.602,0.177,-114.502,-151.428,-48.401
1.399,-0.514,0.059,-111.389,-138.245,-56.335
1.352,-0.420,-0.004,-102.905,-134.583,-63.110
1.346,-0.364,-0.125,-88.806,-136.414,-66.406
1.310,-0.345,-0.139,-68.909,-146.179,-62.561
1.210,-0.391,-0.157,-52.612,-156.616,-52.368
1.108,-0.452,-0.208,-46.143,-161.255,-39.795
0.932,-0.513,-0.206,-49.622,-162.903,-26.062
0.724,-0.517,-0.260,-61.584,-156.982,-12.146
0.579,-0.460,-0.344,-78.003,-145.935,-3.418
0.468,-0.429,-0.379,-91.736,-133.667,-2.869
0.389,-0.374,-0.414,-99.731,-118.591,-7.507
0.348,-0.240,-0.469,-101.501,-103.699,-15.991
0.313,-0.127,-0.474,-92.468,-94.421,-27.100
0.261,-0.058,-0.426,-75.867,-88.806,-36.377
0.269,0.002,-0.385,-57.861,-81.604,-41.321
0.294,0.031,-0.385,-39.551,-74.158,-41.870
0.241,0.035,-0.315,-19.531,-71.899,-36.804
