aX,aY,aZ,gX,gY,gZ
0.785,-1.690,0.482,17.090,-15.076,61.035
0.780,-1.492,0.533,25.330,-3.296,27.649
0.711,-1.208,0.569,23.682,11.902,-11.719
0.668,-0.933,0.578,14.465,22.949,-42.053
0.630,-0.687,0.636,3.540,24.414,-57.068
0.554,-0.500,0.641,-3.113,19.409,-60.486
0.544,-0.406,0.655,-5.493,11.536,-55.054
0.524,-0.351,0.651,-6.287,3.601,-41.748
0.514,-0.337,0.598,-6.287,-1.099,-26.489
0.532,-0.378,0.567,-3.174,-3.662,-14.160
0.546,-0.432,0.549,1.709,-5.127,-4.639
0.563,-0.496,0.548,5.676,-5.127,2.380
0.578,-0.559,0.548,7.202,-3.235,5.676
0.574,-0.608,0.544,7.263,-0.793,5.798
0.568,-0.619,0.531,7.080,0.916,3.052
0.560,-0.599,0.531,6.836,1.404,-1.099
0.558,-0.569,0.537,5.066,1.221,-6.226
0.540,-0.540,0.543,2.014,1.465,-9.766
0.513,-0.519,0.566,-1.404,1.953,-11.902
0.534,-0.475,0.551,-2.258,2.869,-12.268
0.507,-0.516,0.575,0.427,1.709,-10.803
0.509,-0.493,0.568,2.747,-0.305,-8.911
0.536,-0.487,0.567,4.272,-2.136,-5.127
0.544,-0.493,0.561,5.432,-2.930,-0.793
0.551,-0.523,0.537,5.920,-2.258,2.197
0.565,-0.562,0.535,6.287,-2.441,4.150
0.580,-0.582,0.534,7.202,-2.808,4.883
0.591,-0.598,0.524,6.775,-3.174,4.333
0.592,-0.614,0.519,5.066,-3.540,1.892
0.595,-0.614,0.514,2.869,-2.991,-1.587
0.595,-0.599,0.517,2.319,-1.526,-4.578
0.590,-0.567,0.522,3.418,0.427,-5.432
0.576,-0.544,0.541,4.822,2.258,-3.967
0.565,-0.545,0.558,4.456,3.967,-1.038
0.549,-0.557,0.561,3.113,5.127,1.648
0.551,-0.593,0.569,2.502,5.066,3.174
0.544,-0.622,0.549,3.174,4.089,4.456
0.558,-0.641,0.552,4.944,2.808,4.822
0.575,-0.667,0.553,6.958,1.770,4.822
0.579,-0.695,0.542,8.606,2.136,4.700
0.578,-0.703,0.541,10.559,3.235,4.089
0.582,-0.685,0.544,12.695,4.700,1.770
0.591,-0.656,0.553,14.526,6.592,-0.916
0.580,-0.645,0.572,14.465,7.629,-1.648
0.566,-0.628,0.583,11.902,7.141,-1.404
0.560,-0.629,0.591,8.667,5.310,-2.563
0.559,-0.622,0.582,5.432,2.563,-3.845
0.562,-0.622,0.575,2.808,-0.183,-4.456
0.568,-0.636,0.580,1.587,-2.014,-3.845
0.567,-0.651,0.583,0.793,-2.197,-2.808
0.557,-0.674,0.582,0.732,-1.343,-1.770
0.543,-0.684,0.581,2.136,-1.160,-1.099
0.544,-0.688,0.587,5.188,-1.648,-1.343
0.546,-0.676,0.591,8.240,-2.136,-1.465
0.585,-0.666,0.614,10.132,-1.648,-1.221
0.518,-0.624,0.557,10.437,-1.221,-1.587
0.550,-0.633,0.581,11.169,-1.587,-2.014
0.550,-0.618,0.569,9.521,-3.235,-2.869
0.559,-0.619,0.563,6.042,-3.845,-4.150
0.563,-0.627,0.549,2.625,-4.272,-5.920
0.569,-0.634,0.548,0.610,-4.028,-6.714
0.570,-0.634,0.547,0.183,-4.272,-6.958
0.572,-0.638,0.551,1.221,-4.333,-6.470
0.563,-0.629,0.547,1.831,-4.333,-5.188
0.564,-0.634,0.540,2.197,-4.761,-4.395
0.560,-0.642,0.559,2.502,-5.249,-3.967
0.557,-0.644,0.517,2.625,-4.700,-3.174
0.560,-0.650,0.538,4.028,-4.700,-2.808
0.554,-0.641,0.535,4.089,-3.906,-3.296
0.548,-0.635,0.548,2.808,-3.052,-3.906
0.544,-0.632,0.555,1.282,-2.258,-4.761
0.537,-0.624,0.560,-0.488,-1.648,-5.737
0.546,-0.621,0.562,-1.404,-1.892,-6.348
0.553,-0.622,0.558,-1.099,-2.991,-6.348
0.564,-0.622,0.547,-0.305,-3.662,-5.493
0.569,-0.625,0.540,0.732,-4.333,-4.272
0.565,-0.630,0.529,1.160,-4.272,-2.747
0.555,-0.634,0.523,1.221,-4.272,-2.014
0.554,-0.648,0.529,0.977,-3.967,-2.136
0.552,-0.651,0.534,0.549,-3.479,-2.625
0.552,-0.671,0.544,1.099,-2.808,-2.747
0.546,-0.672,0.549,2.014,-2.014,-2.625
0.549,-0.685,0.549,2.380,-1.648,-2.930
0.549,-0.696,0.546,2.625,-2.014,-3.235
0.556,-0.703,0.530,2.869,-1.953,-3.784
0.561,-0.718,0.531,4.333,-1.953,-4.944
0.561,-0.725,0.519,6.104,-1.770,-5.493
0.559,-0.731,0.526,9.155,-1.587,-6.104
0.563,-0.723,0.530,12.573,-1.038,-6.836
0.565,-0.718,0.536,16.296,-0.366,-7.202
0.553,-0.684,0.527,19.104,0.549,-6.348
1.466,-2.091,0.940,-136.230,4.272,446.716
1.544,-2.105,1.019,-108.032,-2.136,455.566
1.574,-1.986,1.079,-99.609,-3.967,444.031
1.622,-1.776,1.234,-128.113,-7.385,414.856
1.669,-1.729,1.375,-194.824,-11.108,368.652
