aX,aY,aZ,gX,gY,gZ
0.918,-0.054,0.425,-13.550,-1.160,2.258
0.904,-0.036,0.413,-13.367,-0.366,3.662
0.898,-0.030,0.405,-12.939,-0.549,3.967
0.892,-0.026,0.409,-12.573,-1.587,4.028
0.883,-0.016,0.409,-11.719,-1.038,4.517
0.863,0.009,0.403,-9.949,1.221,4.578
0.863,0.021,0.379,-8.545,3.723,4.150
0.858,0.029,0.368,-8.179,3.784,2.380
0.865,0.026,0.357,-8.667,2.136,0.610
0.866,0.030,0.359,-10.315,-0.244,-0.549
0.867,0.030,0.366,-11.902,-1.892,-1.526
0.874,0.015,0.370,-11.414,-2.136,-2.502
0.881,0.004,0.375,-9.338,-1.831,-2.625
0.883,0.007,0.377,-6.653,-0.732,-2.197
0.896,0.008,0.391,-4.517,-0.549,-2.136
0.907,0.006,0.410,-4.150,-1.770,-2.197
0.907,0.008,0.424,-5.371,-3.235,-1.648
0.901,0.015,0.427,-6.470,-3.479,-1.099
0.899,0.013,0.432,-7.019,-3.540,-1.221
0.903,0.012,0.429,-8.484,-3.845,-1.892
-0.329,0.252,-3.273,180.786,48.889,-54.932
-0.464,0.209,-3.322,208.496,36.804,-71.167
-0.580,0.125,-3.313,233.826,18.860,-89.478
-0.661,-0.001,-3.252,254.639,-5.188,-109.375
-0.712,-0.158,-3.132,272.705,-33.142,-127.502
-0.765,-0.311,-2.961,291.016,-65.002,-141.418
-0.825,-0.449,-2.734,309.326,-99.304,-154.175
-0.861,-0.585,-2.465,327.759,-133.484,-169.373
-0.862,-0.742,-2.146,347.778,-168.457,-186.951
-0.841,-0.892,-1.818,370.300,-204.834,-204.529
-0.798,-1.057,-1.417,393.738,-240.112,-222.351
-0.742,-1.186,-0.989,414.062,-271.973,-238.037
-0.659,-1.323,-0.484,432.312,-306.824,-249.390
-0.565,-1.385,0.122,438.416,-345.825,-252.075
-0.499,-1.344,0.673,421.997,-376.892,-241.638
-0.464,-1.303,1.124,396.301,-389.709,-226.868
-0.334,-1.340,1.534,372.253,-380.005,-213.318
-0.206,-1.312,1.768,344.177,-342.957,-199.280
-0.140,-1.290,1.855,321.655,-290.527,-182.678
-0.026,-1.267,1.904,302.979,-243.286,-167.969
0.081,-1.264,1.850,279.480,-204.041,-155.212
0.171,-1.307,1.713,253.174,-172.180,-142.700
0.252,-1.380,1.598,231.445,-152.588,-128.845
0.312,-1.414,1.492,215.332,-139.221,-110.596
0.289,-1.392,1.404,205.322,-125.671,-90.271
0.257,-1.336,1.376,205.811,-114.014,-73.486
0.202,-1.266,1.443,210.937,-109.314,-61.646
0.183,-1.232,1.576,211.609,-110.291,-54.993
0.214,-1.175,1.761,201.538,-117.676,-50.842
0.271,-1.106,1.911,177.002,-123.108,-45.471
0.300,-1.036,1.985,146.667,-115.417,-37.292
0.333,-0.940,1.958,121.155,-93.750,-28.076
0.657,-1.030,1.919,105.652,-65.063,-20.386
0.315,-0.974,2.107,80.017,-64.575,-35.400
0.305,-0.939,2.132,38.635,-90.942,-50.049
0.583,-0.901,1.945,25.330,-53.467,-15.442
0.558,-0.728,1.642,23.437,-4.517,15.320
0.555,-0.574,1.312,32.104,42.786,34.485
0.526,-0.445,1.006,34.485,72.998,45.898
0.497,-0.313,0.690,29.724,85.938,49.011
0.423,-0.163,0.442,28.381,81.360,42.480
0.407,-0.072,0.368,28.687,60.303,32.532
0.422,-0.026,0.384,26.001,30.823,20.752
0.478,-0.011,0.454,23.987,4.211,8.606
